recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
146-2015,NA,Morrilton Packing Co.,Arkansas,2015-12-09,2016-06-07,Terminated
145-2015,NA,NA,Pennsylvania,2015-12-03,2016-06-07,Terminated
144-2015,NA,NA,NA,2015-11-27,2016-06-07,Terminated
143-2015,NA,NA,"Iowa, Kansas, Missouri",2015-11-25,2016-06-07,Terminated
142-2015,NA,NA,"Indiana, Ohio, Pennsylvania, Tennessee",2015-11-19,2016-06-07,Terminated
141-2015,NA,NA,NA,2015-11-17,2016-06-07,Terminated
140-2015,NA,NA,"Kansas, Missouri, Oklahoma",2015-11-07,2016-06-07,Terminated
139-2015,NA,NA,NA,2015-11-07,2016-12-13,Terminated
138-2015,NA,NA,California,2015-11-06,2016-06-07,Terminated
137-2015,NA,"Athens Foods, Inc.",NA,2015-11-06,2016-06-07,Terminated
136-2015,NA,NA,California,2015-11-01,2016-06-07,Terminated
135-2015,NA,"All American Meats, Inc.",NA,2015-11-01,2016-06-07,Terminated
134-2015,NA,NA,New Jersey,2015-10-30,2016-06-07,Terminated
133-2015,NA,NA,"Illinois, Wisconsin",2015-10-30,2017-04-26,Terminated
132-2015,NA,NA,NA,2015-10-26,2016-06-07,Terminated
131-2015,NA,NA,"Connecticut, Massachusetts, New Jersey, New York, Rhode Island",2015-10-24,2016-06-07,Terminated
130-2015,NA,NA,California,2015-10-22,2016-06-08,Terminated
129-2015,NA,"Shuler Meats, Inc.",NA,2015-10-22,2016-06-08,Terminated
128-2015,NA,NA,"Delaware, Maryland, Massachusetts, Pennsylvania, Virginia, District of Columbia",2015-10-20,2016-06-08,Terminated
127-2015,NA,"Good Food Concepts, LLC","Colorado, New Mexico",2015-10-18,2016-06-08,Terminated
101-2015 expansion,NA,NA,NA,2015-10-02,2017-02-24,Terminated
126-2015,NA,Royal Frozen Food,California,2015-09-29,2016-06-08,Terminated
125-2015,NA,NA,California,2015-09-25,2016-06-08,Terminated
124-2015,NA,NA,"Georgia, Louisiana",2015-09-24,2016-12-22,Terminated
pha-091715,Product Contamination,NA,NA,2015-09-17,NA,Ongoing
123-2015,NA,NA,NA,2015-09-16,2016-06-08,Terminated
122-2015,NA,The Pork Rind Factory,"North Carolina, Pennsylvania, South Carolina, Virginia",2015-09-10,2016-06-08,Terminated
121-2015,NA,Schrader Farms Meat Market,NA,2015-09-08,2016-06-08,Terminated
120-2015,NA,NA,NA,2015-09-08,2016-06-08,Terminated
119-2015,NA,Kenosha Beef International Ltd,"Arkansas, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Texas, Wisconsin",2015-09-02,2016-06-14,Terminated
118-2015,Misbranding,NA,NA,2015-08-31,2016-06-08,Terminated
117-2015,NA,NA,NA,2015-08-31,2020-02-14,Terminated
116-2015,NA,NA,Washington,2015-08-28,2016-12-13,Terminated
110-2015 expansion,NA,NA,"Alaska, Oregon, Washington",2015-08-27,2016-10-25,Terminated
115-2015,Mislabeling,NA,NA,2015-08-27,2017-04-27,Terminated
114-2015,NA,NA,California,2015-08-26,2016-06-08,Terminated
113-2015,NA,NA,NA,2015-08-25,2017-04-13,Terminated
112-2015,NA,NA,"Ohio, Texas",2015-08-17,2016-06-08,Terminated
111-2015,NA,NA,NA,2015-08-14,2017-04-12,Terminated
110-2015,NA,NA,"Alaska, Washington",2015-08-13,2016-10-25,Terminated
109-2015,NA,NA,Idaho,2015-08-11,2016-06-08,Terminated
108-2015,NA,NA,California,2015-08-07,2016-06-08,Terminated
107-2015,NA,NA,Minnesota,2015-08-03,2016-06-08,Terminated
106-2015,NA,NA,NA,2015-07-31,2017-04-12,Terminated
pha-073115,Product Contamination,NA,NA,2015-07-31,NA,Ongoing
105-2015,NA,NA,New York,2015-07-30,2017-04-11,Terminated
104-2015,NA,NA,"Colorado, Georgia, Illinois, Iowa, Louisiana, Missouri, New Jersey, Ohio",2015-07-23,2016-06-08,Terminated
103-2015,NA,NA,"Idaho, Oregon, Washington",2015-07-20,2016-06-07,Terminated
102-2015,NA,NA,"California, Nevada",2015-07-16,2016-06-07,Terminated
101-2015,NA,NA,Minnesota,2015-07-15,2017-02-24,Terminated
100-2015,NA,NA,Colorado,2015-07-15,2016-06-07,Terminated
096-2015,NA,NA,NA,2015-07-12,2017-02-24,Terminated
099-2015,NA,"VF America, LLC",NA,2015-07-10,2016-06-07,Terminated
098-2015,NA,NA,NA,2015-07-07,2016-06-08,Terminated
097-2015,NA,NA,"Colorado, New Mexico, Utah, Wyoming",2015-07-03,2016-06-08,Terminated
pha-070115,Product Contamination,NA,NA,2015-07-01,NA,Ongoing
095-2015,NA,NA,NA,2015-06-26,2016-06-08,Terminated
094-2015,NA,NA,New York,2015-06-20,2016-06-08,Terminated
093-2015,NA,NA,NA,2015-06-17,2017-08-14,Terminated
092-2015,NA,Venus Foods Inc.,California,2015-06-16,2016-06-08,Terminated
091-2015,NA,NA,California,2015-06-15,2016-06-08,Terminated
090-2015,Processing Defect,NA,"New York, Pennsylvania",2015-06-12,2016-06-08,Terminated
089-2015,NA,"Big Easy Foods of Louisiana, LLC","Arizona, Arkansas, Florida, Louisiana, Maryland, Missouri, New Jersey, Pennsylvania, Tennessee, Texas",2015-06-09,2017-06-20,Terminated
088-2015,NA,Benedetti Farms,California,2015-06-06,2016-06-08,Terminated
087-2015,NA,"Quincy Street, Inc.",NA,2015-06-04,2016-06-08,Terminated
086-2015,NA,NA,California,2015-06-04,2016-06-08,Terminated
085-2015,NA,NA,New York,2015-06-03,2016-06-08,Terminated
084-2015,NA,NA,NA,2015-05-29,2016-06-08,Terminated
083-2015,NA,NA,NA,2015-05-22,2016-06-08,Terminated
082-2015,NA,NA,NA,2015-05-22,2016-06-08,Terminated
081-2015,NA,NA,"Arizona, California, Nevada, Oklahoma, Oregon, Texas",2015-05-20,2020-02-13,Terminated
080-2015,NA,"ZYK Enterprises, Inc.","California, Massachusetts, Washington",2015-05-18,2016-06-08,Terminated
078-2015,"Misbranding, Unreported Allergens",A.S.K. Foods Inc.,Pennsylvania,2015-05-16,2016-06-08,Terminated
079-2015,NA,Pine Creek Processing LLC,NA,2015-05-14,2016-06-08,Terminated
077-2015,NA,NA,"Alabama, Georgia",2015-05-08,2016-06-08,Terminated
076-2015,NA,NA,"Oregon, Washington",2015-05-07,2017-04-17,Terminated
075-2015,NA,NA,"Illinois, Michigan",2015-05-07,2016-06-08,Terminated
074-2015,NA,NA,NA,2015-05-01,2016-06-08,Terminated
073-2015,NA,NA,NA,2015-05-01,2017-04-12,Terminated
072-2015,NA,NA,NA,2015-04-30,2016-06-08,Terminated
071-2015,NA,Golden Krust Patties Inc.,NA,2015-04-29,2016-06-08,Terminated
059-2015 expansion,NA,"Corn Maiden Foods, Inc.",California,2015-04-27,2016-10-04,Terminated
070-2015,NA,Skyline Provisions,NA,2015-04-27,2016-06-08,Terminated
069-2015,NA,NA,Texas,2015-04-24,2017-06-13,Terminated
068-2015,NA,Hong Ha Corporation,"Maryland, Virginia",2015-04-24,2016-06-08,Terminated
067-2015,NA,NA,"Illinois, Minnesota, Oklahoma, Texas, Utah",2015-04-23,2016-06-08,Terminated
066-2015,NA,NA,NA,2015-04-20,2016-06-08,Terminated
065-2015,NA,NA,Michigan,2015-04-20,2016-06-08,Terminated
064-2015,NA,NA,Arkansas,2015-04-18,2016-06-08,Terminated
063-2015,NA,Royal Frozen Food,"California, Nevada",2015-04-17,2016-06-08,Terminated
062-2015,NA,NA,Arkansas,2015-04-15,2016-06-08,Terminated
061-2015,NA,Beech-Nut Nutrition Corporation,NA,2015-04-14,2016-06-08,Terminated
060-2015,NA,"Leader Slaughterhouse, LLC",NA,2015-04-13,2016-06-08,Terminated
059-2015,NA,"Corn Maiden Foods, Inc.",California,2015-04-11,2016-06-08,Terminated
058-2015,NA,NA,"Connecticut, Maryland",2015-04-10,2016-06-08,Terminated
057-2015,NA,NA,"Illinois, Indiana, Wisconsin",2015-04-08,2016-06-08,Terminated
056-2015,NA,NA,"Oregon, Washington",2015-04-08,2016-06-08,Terminated
055-2015,NA,Lebanese Butcher Slaughter House Inc,NA,2015-04-02,2016-06-08,Terminated
054-2015,NA,NA,Washington,2015-04-01,2016-06-08,Terminated
053-2015,NA,NA,"California, Maryland, Virginia",2015-04-01,2017-04-25,Terminated
052-2015,NA,NA,California,2015-03-25,2017-06-15,Terminated
051-2015,NA,NA,"Arizona, California",2015-03-23,2016-06-08,Terminated
050-2015,NA,NA,Massachusetts,2015-03-20,2017-04-11,Terminated
049-2015,NA,NA,Massachusetts,2015-03-20,2016-06-08,Terminated
048-2015,NA,NA,"Illinois, Wisconsin",2015-03-18,2016-06-08,Terminated
047-2015,NA,NA,Missouri,2015-03-17,2016-06-08,Terminated
046-2015,NA,NA,Texas,2015-03-14,2016-06-08,Terminated
045-2015,NA,Gourmet Kitchen Inc,Arizona,2015-03-14,2016-06-08,Terminated
044-2015,NA,NA,Michigan,2015-03-13,2016-06-08,Terminated
043-2015,NA,NA,"North Carolina, Ohio",2015-03-12,2016-06-08,Terminated
042-2015,NA,NA,NA,2015-03-12,2016-06-08,Terminated
041-2015,NA,NA,Texas,2015-03-06,2017-07-20,Terminated
040-2015,NA,NA,"Arizona, California, Washington",2015-03-05,2016-06-08,Terminated
039-2015,NA,NA,"Hawaii, Idaho, Oregon, Washington",2015-03-04,2016-06-08,Terminated
038-2015,NA,NA,Texas,2015-03-02,2016-06-08,Terminated
037-2015,NA,NA,NA,2015-03-01,2016-12-13,Terminated
036-2015,NA,"Sunset Farm Foods, Inc.","Alabama, Arkansas, Florida, Georgia, New Jersey, New York",2015-02-26,2016-06-08,Terminated
035-2015,NA,NA,"Iowa, Texas",2015-02-20,2016-06-08,Terminated
034-2015,NA,NA,"Illinois, North Carolina",2015-02-19,2016-06-08,Terminated
033-2015,NA,NA,Indiana,2015-02-17,2016-06-08,Terminated
032-2015,NA,NA,Michigan,2015-02-17,2016-06-08,Terminated
031-2015,NA,"ATM International USA, Inc.","Arizona, California, Washington",2015-02-13,2016-06-08,Terminated
030-2015,NA,NA,"Connecticut, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Virginia, District of Columbia",2015-02-10,2016-06-08,Terminated
029-2015,NA,NA,Washington,2015-02-10,2017-01-30,Terminated
028-2015,NA,Krehbiels Specialty Meats Inc,NA,2015-02-04,2016-06-08,Terminated
027-2015,NA,NA,Florida,2015-01-30,2016-06-08,Terminated
026-2015,NA,NA,"New Jersey, Pennsylvania",2015-01-30,2016-06-08,Terminated
025-2015,NA,NA,NA,2015-01-30,2016-06-08,Terminated
024-2015,NA,NA,"California, New York, Ohio, Pennsylvania",2015-01-30,2016-06-08,Terminated
023-2015,NA,NA,"Alaska, California, Colorado, Idaho, Maryland, Oregon, Texas, Utah, Washington",2015-01-29,2016-06-08,Terminated
022-2015,NA,"Washington Beef, LLC","Oregon, Washington",2015-01-28,2016-06-08,Terminated
021-2015,NA,NA,NA,2015-01-26,2016-06-08,Terminated
020-2015,NA,NA,"Arizona, Colorado",2015-01-23,2016-06-08,Terminated
019-2015,NA,NA,Illinois,2015-01-23,2016-06-08,Terminated
018-2015,NA,NA,"Florida, Illinois, Indiana, Massachusetts, New Jersey, Texas",2015-01-21,2016-06-08,Terminated
017-2015,NA,NA,NA,2015-01-21,2016-06-08,Terminated
016-2015,NA,NA,NA,2015-01-17,2016-06-08,Terminated
015-2015,NA,NA,NA,2015-01-17,2016-06-08,Terminated
013-2015,NA,NA,California,2015-01-17,2017-08-15,Terminated
014-2015,NA,NA,NA,2015-01-17,2016-06-08,Terminated
014-2015(Original),NA,NA,NA,2015-01-17,2016-06-08,Terminated
012-2015,NA,NA,"Florida, Georgia, Maryland, New York, Oklahoma, Texas",2015-01-16,2016-06-08,Terminated
011-2015,NA,NA,"Connecticut, New Jersey, New York",2015-01-16,2016-06-08,Terminated
010-2015,NA,NA,Georgia,2015-01-16,2016-06-08,Terminated
008-2015,NA,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia",2015-01-14,2016-06-08,Terminated
009-2015,NA,NA,NA,2015-01-14,2016-06-08,Terminated
007-2015,NA,NA,NA,2015-01-12,2016-06-08,Terminated
006-2015,NA,"Timberline Meats, LLC",New York,2015-01-09,2016-06-08,Terminated
005-2015,"Unreported Allergens, Mislabeling","The Daniel Weaver Co., Inc.",New Jersey,2015-01-08,2016-06-08,Terminated
004-2015,Product Contamination,"Unibright Foods, Inc.","Arizona, California, Colorado, Hawaii, Illinois, New Jersey, New York",2015-01-08,2016-06-08,Terminated
003-2015,Misbranding,Fresh Food Manufacturing Company,"Maryland, Ohio, Pennsylvania, Virginia, West Virginia",2015-01-07,2016-06-08,Terminated
002-2015,NA,NA,NA,2015-01-07,2016-06-08,Terminated
001-2015,NA,NA,Texas,2015-01-02,2016-06-08,Terminated
094-2014,"Misbranding, Unreported Allergens",NA,"Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia",2015-12-31,2015-09-18,Terminated
093-2014,"Misbranding, Unreported Allergens",NA,NA,2015-12-31,2015-03-24,Terminated
091-2014-EXP1,"Misbranding, Unreported Allergens",NA,Texas,2015-12-30,2017-06-13,Terminated
092-2014,"Misbranding, Unreported Allergens",Hausman Foods,Texas,2015-12-29,2016-08-31,Terminated
091-2014,"Misbranding, Unreported Allergens",NA,Texas,2014-12-27,2017-06-13,Terminated
090-2014,"Misbranding, Unreported Allergens",HEB Meat Plant,Texas,2014-12-27,2015-03-24,Terminated
089-2014,"Misbranding, Unreported Allergens","Nuevo Garcia Foods, LLC",Texas,2014-12-27,2015-03-23,Terminated
088-2014,Misbranding,DaBecca LLC,"California, Texas",2014-12-23,2015-02-06,Terminated
087-2014,Produced Without Benefit of Inspection,NA,Arizona,2014-12-22,2015-03-24,Terminated
086-2014,Misbranding,NA,"Florida, Georgia",2014-12-22,2015-10-26,Terminated
085-2014,Misbranding,"Katadyn North America Foods, LLC.",NA,2014-12-19,2015-03-24,Terminated
084-2014,"Misbranding, Unreported Allergens",NA,"Oregon, Washington",2014-12-10,2015-03-24,Terminated
083-2014,Produced Without Benefit of Inspection,NA,"Georgia, Illinois, Washington",2014-12-04,2015-02-18,Terminated
082-2014,Product Contamination,Rancher's US OP LLC,NA,2014-11-22,2016-07-05,Terminated
081-2014,"Misbranding, Unreported Allergens",NA,"California, Pennsylvania, Texas",2014-11-19,2015-03-24,Terminated
080-2014,"Misbranding, Unreported Allergens",K. Heeps Inc,Pennsylvania,2014-11-19,2015-01-02,Terminated
079-2014-EXP,"Misbranding, Unreported Allergens",NA,NA,2014-11-18,2015-09-30,Terminated
079-2014,"Misbranding, Unreported Allergens",NA,NA,2014-11-15,2015-05-28,Terminated
078-2014,"Misbranding, Unreported Allergens","Kasia's Deli, Inc.",NA,2014-11-14,2016-12-13,Terminated
077-2014,"Misbranding, Unreported Allergens","Kulana Foods, Ltd.",Hawaii,2014-11-09,2016-04-28,Terminated
076-2014,"Misbranding, Unreported Allergens","CS Best Food, Inc.","California, Washington",2014-11-06,2015-03-24,Terminated
075-2014,Processing Defect,NA,"Louisiana, Texas",2014-10-30,2017-06-13,Terminated
074-2014,Product Contamination,NA,NA,2014-10-25,2016-06-23,Terminated
073-2014,Product Contamination,NA,Minnesota,2014-10-24,2015-03-24,Terminated
072-2014,"Misbranding, Unreported Allergens","Taylor Farms New Jersey, Inc.","Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania, Virginia",2014-10-24,2015-06-01,Terminated
071-2014,Produced Without Benefit of Inspection,NA,"Oregon, Washington",2014-10-17,2014-11-06,Terminated
070-2014,"Misbranding, Unreported Allergens","Shop Packaging, LLC",New York,2014-10-16,2015-03-24,Terminated
069-2014,"Misbranding, Unreported Allergens",Fresh Food Manufacturing Company,"Ohio, Pennsylvania",2014-10-14,2014-11-14,Terminated
067-2014-EXP,Processing Defect,Galant Food Company,California,2014-10-13,2015-02-03,Terminated
068-2014,Product Contamination,"Buddy's Kitchen, Inc.",NA,2014-10-08,2016-06-30,Terminated
067-2014,Processing Defect,Galant Food Company,California,2014-10-06,2015-03-24,Terminated
066-2014,Product Contamination,NA,Texas,2014-10-04,2017-06-09,Terminated
065-2014,Produced Without Benefit of Inspection,Vigil's Beef Jerky,New Mexico,2014-10-03,2017-06-13,Terminated
064-2014,Produced Without Benefit of Inspection,Olson Meat Plant,Hawaii,2014-10-02,2015-03-24,Terminated
063-2014,Product Contamination,NA,Texas,2014-09-30,2017-06-13,Terminated
062-2014,Produced Without Benefit of Inspection,Delicious Beef Jerky,New Mexico,2014-09-27,2015-10-27,Terminated
061-2014,Product Contamination,"Caviness Beef Packers, Ltd.",Texas,2014-09-25,2017-04-26,Terminated
060-2014,Product Contamination,Foster Farms,"California, Texas, Utah, Washington",2014-09-25,2017-04-27,Terminated
059-2014,Processing Defect,Monogram Frozen Foods,"Colorado, Montana, New Mexico, South Dakota, Utah, Wyoming",2014-09-23,2014-11-12,Terminated
058-2014,"Misbranding, Unreported Allergens",NA,NA,2014-09-12,2017-06-09,Terminated
057-2014,"Misbranding, Unreported Allergens",Interbay Food Company,Washington,2014-09-12,2016-06-30,Terminated
056-2014,Processing Defect,"Perdue Foods, LLC","Connecticut, New Jersey, New York, Pennsylvania",2014-09-06,2014-10-10,Terminated
055-2014,Product Contamination,NA,New Jersey,2014-08-27,2015-10-28,Terminated
054-2014,Product Contamination,NA,NA,2014-08-21,2016-06-30,Terminated
053-2014,Product Contamination,NA,Massachusetts,2014-08-15,2017-04-26,Terminated
052-2014,Product Contamination,Perdue Foods LLC,NA,2014-08-12,2014-09-23,Terminated
051-2014,Processing Defect,NA,NA,2014-08-09,2015-03-24,Terminated
050-2014,"Misbranding, Unreported Allergens",NA,NA,2014-08-06,2015-03-23,Terminated
049-2014,"Misbranding, Unreported Allergens","Puritan Foods Co., Inc.",NA,2014-07-26,2015-03-24,Terminated
pha-072514,Unfit for Human Consumption,NA,Missouri,2014-07-25,NA,Ongoing
048-2014,Product Contamination,Great American Marketing Co.,Texas,2014-07-24,2017-04-14,Terminated
047-2014,"Misbranding, Unreported Allergens",NA,NA,2014-07-22,2016-06-24,Terminated
046-2014,"Misbranding, Unreported Allergens",NA,"Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia",2014-07-18,2016-06-08,Terminated
044-2014,Product Contamination,NA,"Alaska, Arizona, California, Hawaii, Idaho, Kansas, Nevada, Oklahoma, Oregon, Utah, Washington",2014-07-12,2016-06-08,Terminated
045-2014,Processing Defect,"Kanani Foods II, Inc.",Nevada,2014-07-04,2016-06-08,Terminated
043-2014,Product Contamination,HEB Meat Plant,Texas,2014-07-03,2017-04-13,Terminated
042-2014,Product Contamination,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia",2014-06-27,2014-08-18,Terminated
041-2014,"Misbranding, Unreported Allergens",Mr Wok Foods Inc. dba Maxfield Foods,Nevada,2014-06-26,2016-06-08,Terminated
039-2014,"Misbranding, Unreported Allergens",K & W Sausage,Iowa,2014-06-25,2016-07-05,Terminated
040-2014,Misbranding,Rudolph Foods Company,"Alabama, Florida, Georgia, Louisiana, Maryland, Mississippi",2014-06-25,2016-06-08,Terminated
038-2014,"Misbranding, Unreported Allergens","Wei-Chuan USA, Inc.",California,2014-06-21,2016-06-08,Terminated
037-2014,"Misbranding, Unreported Allergens",Dearborn Sausage Company Inc,NA,2014-06-19,2016-06-14,Terminated
036-2014,"Misbranding, Unreported Allergens","Bellisio Foods, Inc.",NA,2014-06-19,2016-06-08,Terminated
035-2014,"Misbranding, Unreported Allergens",Vanee Foods Company,"Florida, Illinois, Oregon, Pennsylvania, Virginia, Wisconsin",2014-06-13,2016-06-14,Terminated
034-2014,Product Contamination,NA,"New York, Connecticut, Missouri",2014-06-11,2016-08-03,Terminated
033-2014,Misbranding,NA,Colorado,2014-05-29,2016-06-14,Terminated
032-2014,"Misbranding, Unreported Allergens",NA,California,2014-05-23,2016-06-14,Terminated
031-2014,"Misbranding, Unreported Allergens",Gold Creek Foods LLC,NA,2014-05-21,2016-06-14,Terminated
030-2014,Product Contamination,Wolverine Packing Co.,NA,2014-05-19,2016-06-14,Terminated
029-2014,Misbranding,NA,NA,2014-05-16,2016-06-14,Terminated
028-2014,Produced Without Benefit of Inspection,NA,NA,2014-05-16,2016-06-14,Terminated
027-2014,Product Contamination,NA,"Illinois, Indiana, Iowa, Missouri, Wisconsin",2014-05-03,2016-08-03,Terminated
026-2014,"Misbranding, Unreported Allergens",Knockum Hill Bar-B-Que,Kentucky,2014-04-25,2016-06-14,Terminated
025-2014,Produced Without Benefit of Inspection,NA,New York,2014-04-24,2017-06-13,Terminated
024-2014,"Misbranding, Unreported Allergens",Kraft Heinz Foods Company,NA,2014-04-20,2016-08-16,Terminated
023-2014,"Misbranding, Unreported Allergens",Gold Creek Foods LLC,NA,2014-04-19,2016-06-08,Terminated
022-2014,"Misbranding, Produced Without Benefit of Inspection",NA,NA,2014-04-17,2017-04-12,Terminated
015-2014-EXP,Product Contamination,NA,NA,2014-04-14,2016-12-13,Terminated
021-2014,Product Contamination,"Tyson Poultry, Inc.","Arkansas, Indiana",2014-04-04,2016-07-14,Terminated
020-2014,"Misbranding, Unreported Allergens","American Outdoor Products, Inc",NA,2014-04-02,2016-07-06,Terminated
019-2014,"Misbranding, Unreported Allergens","AdvancePierre Foods, Inc.","Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Montana, Nebraska, North Dakota, New Mexico, New York, Oklahoma, Texas, Utah, Virginia",2014-04-01,2016-09-08,Terminated
pha-032614,Unfit for Human Consumption,NA,NA,2014-03-26,NA,Ongoing
018-2014,"Misbranding, Unreported Allergens",George's Further Processing,"Tennessee, Iowa",2014-03-07,2016-06-08,Terminated
017-2014,Produced Without Benefit of Inspection,NA,"Connecticut, Florida, Georgia, Illinois, Maryland, Massachusetts, Michigan, Missouri, New Jersey, New York, Pennsylvania, South Carolina, Virginia",2014-02-26,2016-06-08,Terminated
016-2014,Import Violation,NA,"Arizona, California, Florida",2014-02-26,2016-06-08,Terminated
013-2014-EXP,Produced Without Benefit of Inspection,NA,"California, Florida, Illinois, Oregon, Texas, Washington",2014-02-18,NA,Ongoing
015-2014,Product Contamination,NA,NA,2014-02-15,2016-11-10,Terminated
013-2014,Produced Without Benefit of Inspection,NA,"California, Florida, Illinois, Oregon, Texas, Washington, California, Florida, Illinois, Oregon, Texas, Washington",2014-02-14,NA,Ongoing
014-2014,"Misbranding, Unreported Allergens",Prime Snax Inc.,NA,2014-02-11,2016-06-08,Terminated
012-2014,Processing Defect,Wyoming Authentic Products LLC,"Colorado, Utah, Washington, Wyoming",2014-02-08,2017-01-20,Terminated
011-2014,"Misbranding, Unreported Allergens",NA,Puerto Rico,2014-02-04,2016-06-08,Terminated
010-2014,Product Contamination,NA,"Arizona, Oklahoma, Puerto Rico, Texas",2014-02-04,2017-04-13,Terminated
009-2014,"Misbranding, Unreported Allergens","House Of Smoke, Inc.",NA,2014-02-01,2016-06-08,Terminated
008-2014,"Misbranding, Unreported Allergens",Walker's Food Products Co.,"Illinois, Kansas, Missouri, Oklahoma",2014-01-30,2017-01-12,Terminated
007-2014,"Misbranding, Unreported Allergens",George's Further Processing,NA,2014-01-27,2016-06-08,Terminated
006-2014,"Misbranding, Unreported Allergens",Baxters North America,NA,2014-01-19,2016-06-08,Terminated
005-2014,Product Contamination,Carl Buddig and Company,"Illinois, Indiana, Kentucky, Ohio",2014-01-17,2016-06-08,Terminated
004-2014,"Misbranding, Unreported Allergens",Huong Duyen Meat Products,"California, Colorado, Illinois",2014-01-17,2015-03-24,Terminated
002-2014-EXP1,Produced Without Benefit of Inspection,NA,California,2014-01-16,NA,Ongoing
003-2014,"Misbranding, Unreported Allergens",Cloverdale Foods Co.,"Montana, North Dakota, Washington",2014-01-15,2017-01-13,Terminated
002-2014,Produced Without Benefit of Inspection,NA,California,2014-01-13,NA,Ongoing
001-2014,Product Contamination,"Tyson Poultry, Inc.",NA,2014-01-10,2016-08-03,Terminated
075-2013-EXP,Processing Defect,"Palama Holdings, LLC",Hawaii,2013-12-24,2016-10-11,Terminated
075-2013,Processing Defect,"Palama Holdings, LLC",Hawaii,2013-12-20,2016-10-11,Terminated
074-2013,Product Contamination,Saigon Gourmet LLC,"Arizona, California, Oklahoma, Nevada, Texas",2013-12-19,2015-03-24,Terminated
073-2013-EXP2,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming",2013-12-16,2015-03-24,Terminated
073-2013-EXP1,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming",2013-12-12,2016-09-19,Terminated
073-2013,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming",2013-12-09,2015-03-24,Terminated
072-2013,"Misbranding, Unreported Allergens",NA,"Arizona, California, Colorado, Indiana, Oregon, Texas, Utah, Washington",2013-12-06,2015-03-24,Terminated
071-2013,Product Contamination,NA,"California, Michigan",2013-12-06,2016-10-31,Terminated
070-2013,Mislabeling,"Mary Ann's Speciality Foods, Inc.",NA,2013-11-27,2014-03-03,Terminated
069-2013,"Misbranding, Unreported Allergens",NA,California,2013-11-22,2014-01-10,Terminated
067-2013,"Mislabeling, Processing Defect",Creminelli Fine Meats,NA,2013-11-22,2016-08-29,Terminated
068-2013,"Misbranding, Unreported Allergens",NA,Nebraska,2013-11-22,2015-03-24,Terminated
066-2013,Produced Without Benefit of Inspection,Fran's Fryers,Texas,2013-11-13,2016-08-29,Terminated
065-2013,Product Contamination,Glass Onion Catering,"Arizona, California, Nevada, New Mexico, Oregon, Texas, Utah, Washington",2013-11-10,2015-03-24,Terminated
064-2013,"Misbranding, Mislabeling","Wycen Foods, Inc.",California,2013-11-07,2013-12-04,Terminated
059-2013-EXP2,Product Contamination,Reser's Fine Foods,NA,2013-11-04,2016-06-17,Terminated
062-2013-EXP,Product Contamination,"Taylor Farms TX, Inc.","Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Texas, Virginia",2013-10-29,2014-04-09,Terminated
063-2013,Produced Without Benefit of Inspection,NA,"Arizona, California",2013-10-26,2015-03-24,Terminated
059-2013-EXP1,Product Contamination,Reser's Fine Foods,NA,2013-10-26,2016-06-17,Terminated
062-2013,Product Contamination,"Taylor Farms TX, Inc.","Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Vermont",2013-10-25,2015-03-23,Terminated
055-2013-EXP2,Product Contamination,"Garden Fresh Foods, Inc.",NA,2013-10-25,2015-10-29,Terminated
061-2013,Product Contamination,Boston Salads and Provisions Company Inc.,"Massachusetts, New Hampshire",2013-10-24,2015-03-24,Terminated
060-2013,Product Contamination,NA,Minnesota,2013-10-22,2016-10-25,Terminated
059-2013,Product Contamination,Reser's Fine Foods,NA,2013-10-22,2016-06-17,Terminated
055-2013-EXP1,Product Contamination,"Garden Fresh Foods, Inc.",NA,2013-10-17,2015-10-29,Terminated
058-2013-EXP,Product Contamination,NA,California,2013-10-17,2015-03-24,Terminated
058-2013,Product Contamination,NA,California,2013-10-12,2015-03-23,Terminated
pha-100713,Product Contamination,NA,"California, Oregon, Washington",2013-10-07,NA,Ongoing
057-2013,Product Contamination,"Central Valley Meat Co., Inc.","Arkansas, Nebraska, North Carolina",2013-10-01,2015-03-23,Terminated
056-2013,"Misbranding, Unreported Allergens",NA,Minnesota,2013-09-27,2016-09-08,Terminated
055-2013,Product Contamination,"Garden Fresh Foods, Inc.",NA,2013-09-25,2015-10-29,Terminated
053-2013-EXP,Produced Without Benefit of Inspection,Siberoni,"Oregon, Washington",2013-09-25,2015-03-24,Terminated
