case_number,recall_reason,establishment,states,date
063-2017,"Misbranding, Unreported Allergens","Water Lilies Food, LLC, Water Lilies Food, LLC","Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Virginia, District of Columbia, Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Virginia, District of Columbia","Thu, 06/08/2017 - Fri, 08/04/2017, Thu, 06/08/2017 - Fri, 08/04/2017"
062-2017,"Misbranding, Unreported Allergens","Aldon Food Corporation, Aldon Food Corporation","Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Virginia, Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Virginia","Thu, 06/08/2017 - Thu, 08/24/2017, Thu, 06/08/2017 - Thu, 08/24/2017"
061-2017,"Misbranding, Unreported Allergens","Maid-Rite Specialty Foods, Inc, Maid-Rite Specialty Foods, Inc","NA, NA","Thu, 06/08/2017 - Mon, 12/04/2017, Thu, 06/08/2017 - Mon, 12/04/2017"
059-2017,Product Contamination,"Creation Gardens, Inc","Indiana, Kentucky, Ohio, Tennessee","Mon, 06/05/2017 - Mon, 07/31/2017"
058-2017,Product Contamination,"P&S Bakery, Inc","Ohio, Pennsylvania, Virginia, West Virginia","Fri, 06/02/2017 - Thu, 08/24/2017"
053-2017,Product Contamination,Correctional Industries Food Factory,"Arizona, Idaho, Montana, Oregon, Washington","Fri, 06/02/2017 - Tue, 08/08/2017"
057-2017,Product Contamination,"Readfield Meats, Inc.",Texas,"Sat, 05/27/2017 - Fri, 10/27/2017"
056-2017,Produced Without Benefit of Inspection,"Somi Foods, Inc",Washington,"Fri, 05/26/2017 - Mon, 06/26/2017"
055-2017,Product Contamination,"Golden Gourmet, LLC","Georgia, Illinois, Iowa, Ohio, South Carolina, Tennessee","Thu, 05/25/2017 - Thu, 07/20/2017"
054-2017,Product Contamination,NA,"Arkansas, Indiana, Kansas, Louisiana, Oklahoma, Texas","Wed, 05/24/2017 - Wed, 08/09/2017"
pha-051617-exp,Product Contamination,NA,"Michigan, California, Florida, Massachusetts","Sat, 05/20/2017 - Current"
052-2017,Product Contamination,NA,NA,"Fri, 05/19/2017 - Wed, 06/21/2017"
051-2017,Produced Without Benefit of Inspection,"Yosemite Protein Products, Inc.","Arizona, California, Colorado, New York, Washington","Thu, 05/18/2017 - Tue, 06/20/2017"
pha-051617,Product Contamination,NA,"Florida, Massachusetts","Tue, 05/16/2017 - Current"
050-2017,Product Contamination,NA,"California, Illinois, Oregon, South Dakota","Sat, 05/13/2017 - Fri, 11/17/2017"
049-2017,Product Contamination,NA,NA,"Fri, 05/12/2017 - Thu, 08/31/2017"
048-2017,Product Contamination,NY Livestock Market Inc.,New York,"Thu, 05/11/2017 - Mon, 07/31/2017"
047-2017,Product Contamination,"Kabobs Aquisition , LLC","Florida, Georgia, South Carolina, Texas","Wed, 05/10/2017 - Thu, 06/01/2017"
pha-050917,Product Contamination,NA,NA,"Tue, 05/09/2017 - Current"
046-2017,"Misbranding, Unreported Allergens","Ford Brothers Wholesale Meats Inc, Ford Brothers Wholesale Meats Inc","New York, New York","Mon, 05/08/2017 - Wed, 06/28/2017, Mon, 05/08/2017 - Wed, 06/28/2017"
045-2017,Product Contamination,Perdue Foods LLC,"Connecticut, Maryland","Sat, 05/06/2017 - Tue, 06/20/2017"
044-2017,Product Contamination,Marcho Farms Inc.,NA,"Thu, 05/04/2017 - Tue, 06/13/2017"
043-2017,"Misbranding, Unreported Allergens","NA, NA","Pennsylvania, Texas, Pennsylvania, Texas","Wed, 05/03/2017 - Fri, 11/17/2017, Wed, 05/03/2017 - Fri, 11/17/2017"
042-2017,Produced Without Benefit of Inspection,NA,"Indiana, Oklahoma","Wed, 05/03/2017 - Wed, 05/17/2017"
041-2017,Product Contamination,Foster Farms,"Alaska, Arizona, California, Utah, Washington","Thu, 04/27/2017 - Mon, 06/26/2017"
040-2017,Product Contamination,NA,NA,"Thu, 04/27/2017 - Tue, 05/09/2017"
039-2017,Product Contamination,NA,"Arkansas, Mississippi, Tennessee","Tue, 04/25/2017 - Wed, 05/17/2017"
038-2017,Product Contamination,"Uncle John's Pride, LLC","Alabama, Florida, Georgia","Mon, 04/24/2017 - Mon, 06/19/2017"
037-2017,Processing Defect,WFSP Foods LLC,Illinois,"Mon, 04/24/2017 - Thu, 07/20/2017"
036-2017,"Misbranding, Unreported Allergens","Campbell Soup Company, Campbell Soup Company","Florida, Florida","Sat, 04/22/2017 - Wed, 05/17/2017, Sat, 04/22/2017 - Wed, 05/17/2017"
pha-042017,Product Contamination,NA,NA,"Thu, 04/20/2017 - Current"
035-2017,"Misbranding, Unreported Allergens","Request Foods Inc., Request Foods Inc.","NA, NA","Thu, 04/20/2017 - Mon, 07/31/2017, Thu, 04/20/2017 - Mon, 07/31/2017"
034-2017,"Misbranding, Unreported Allergens","MIBO Fresh Foods LLC, MIBO Fresh Foods LLC","Louisiana, Oklahoma, Texas, Louisiana, Oklahoma, Texas","Sat, 04/08/2017 - Wed, 04/26/2017, Sat, 04/08/2017 - Wed, 04/26/2017"
033-2017,"Misbranding, Unreported Allergens","Food Evolution, Food Evolution","Illinois, Minnesota, Wisconsin, Illinois, Minnesota, Wisconsin","Wed, 04/05/2017 - Fri, 05/05/2017, Wed, 04/05/2017 - Fri, 05/05/2017"
032-2017,Product Contamination,Lakes Farm Raised Catfish Inc,"Mississippi, Tennessee","Fri, 03/24/2017 - Thu, 06/01/2017"
031-2017,Product Contamination,Ajinomoto Windsor Inc.,"California, Florida, Illinois, Missouri, New York, Ohio, Pennsylvania, Texas, Wyoming","Fri, 03/24/2017 - Thu, 07/20/2017"
030-2017,Product Contamination,"OK Foods, Inc.",NA,"Thu, 03/23/2017 - Fri, 10/13/2017"
029-2017,"Misbranding, Unreported Allergens","Whiskey Hill Smokehouse LLC, Whiskey Hill Smokehouse LLC","NA, NA","Wed, 03/22/2017 - Mon, 05/22/2017, Wed, 03/22/2017 - Mon, 05/22/2017"
028-2017,Produced Without Benefit of Inspection,NA,California,"Tue, 03/21/2017 - Thu, 07/27/2017"
027-2017,Product Contamination,H & B Packing Co. Inc.,Texas,"Sun, 03/19/2017 - Wed, 11/01/2017"
023-2017 EXP,Product Contamination,"King's Command Foods, LLC",NA,"Fri, 03/17/2017 - Wed, 08/09/2017"
026-2017,Product Contamination,Flagship Food Group,"Illinois, Pennsylvania","Thu, 03/16/2017 - Thu, 04/13/2017"
025-2017,Product Contamination,"RBR Meat Co., Inc.","California, Nevada, Utah, Washington","Wed, 03/15/2017 - Tue, 04/25/2017"
024-2017,"Misbranding, Unreported Allergens","Picone Meat Specialties LTD, Picone Meat Specialties LTD","New York, New York","Thu, 03/09/2017 - Tue, 06/13/2017, Thu, 03/09/2017 - Tue, 06/13/2017"
023-2017,Product Contamination,"King's Command Foods, LLC",NA,"Thu, 03/09/2017 - Wed, 08/09/2017"
022-2017,Misbranding,Rochester Meat Company,"Indiana, Minnesota, North Dakota, South Dakota, Wisconsin","Mon, 03/06/2017 - Tue, 05/30/2017"
021-2017,Product Contamination,"F.B. Packing Co., Inc.","Illinois, Massachusetts","Mon, 03/06/2017 - Fri, 03/31/2017"
020-2017,Product Contamination,Ohio Farms Packing Co. Ltd.,"Illinois, Michigan, North Carolina, Ohio, Oklahoma, Pennsylvania, Texas","Thu, 03/02/2017 - Tue, 12/26/2017"
019-2017,Produced Without Benefit of Inspection,NA,"Illinois, Iowa, Kansas, Missouri","Wed, 03/01/2017 - Tue, 03/28/2017"
018-2017,"Misbranding, Unreported Allergens","Procesadora La Hacienda, Inc., Procesadora La Hacienda, Inc.","Puerto Rico, Puerto Rico","Wed, 03/01/2017 - Fri, 03/17/2017, Wed, 03/01/2017 - Fri, 03/17/2017"
017-2017,Processing Defect,Wayne Farms LLC,"Delaware, Georgia, Kentucky, Maryland, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia","Tue, 02/28/2017 - Fri, 03/31/2017"
016-2017,Product Contamination,NA,Florida,"Tue, 02/28/2017 - Mon, 07/24/2017"
pha-022417,Product Contamination,JLM Manufacturing,"Illinois, West Virginia, Wisconsin, Tennessee, Pennsylvania, Indiana, Kentucky, Maryland, Michigan, Ohio","Fri, 02/24/2017 - Current"
014-2017,"Misbranding, Unreported Allergens","Fratelli Beretta USA, Inc., Fratelli Beretta USA, Inc.","Arizona, California, Florida, Michigan, Nevada, New Jersey, Oklahoma, Pennsylvania, Texas, Arizona, California, Florida, Michigan, Nevada, New Jersey, Oklahoma, Pennsylvania, Texas","Wed, 02/22/2017 - Thu, 04/13/2017, Wed, 02/22/2017 - Thu, 04/13/2017"
015-2017,Product Contamination,"Ready Pac Produce, Inc.",NA,"Wed, 02/22/2017 - Tue, 06/06/2017"
013-2017,Misbranding,Century Packing Corp.,"Florida, Puerto Rico","Wed, 02/15/2017 - Fri, 08/04/2017"
012-2017,Product Contamination,Taylor Farm - Pacific,Texas,"Sat, 02/11/2017 - Tue, 04/25/2017"
011-2017,"Misbranding, Unreported Allergens","Ukrop's Homestyle Foods, Ukrop's Homestyle Foods","Virginia, Virginia","Tue, 02/07/2017 - Thu, 02/16/2017, Tue, 02/07/2017 - Thu, 02/16/2017"
010-2017,Misbranding,Atlas Meat Company,"Colorado, Wyoming","Wed, 01/25/2017 - Fri, 04/28/2017"
009-2017,Processing Defect,Hans Kissle Company LLC,NA,"Fri, 01/20/2017 - Fri, 02/10/2017"
008-2017,"Misbranding, Unreported Allergens","Mountain View Packaging, LLC, Mountain View Packaging, LLC","NA, NA","Thu, 01/19/2017 - Tue, 02/28/2017, Thu, 01/19/2017 - Tue, 02/28/2017"
007-2017,Misbranding,"WILLOW TREE POULTRY FARM, INC.",NA,"Wed, 01/18/2017 - Thu, 02/23/2017"
006-2017,Misbranding,"Burger's Ozark Country Cured Hams, Inc.",NA,"Wed, 01/18/2017 - Thu, 02/02/2017"
005-2017,Produced Without Benefit of Inspection,NA,Michigan,"Sat, 01/14/2017 - Fri, 01/27/2017"
004-2017,"Misbranding, Unreported Allergens","Kettle Cuisine Midco, LLC, Kettle Cuisine Midco, LLC","Connecticut, Maine, Massachusetts, New Jersey, Rhode Island, Connecticut, Maine, Massachusetts, New Jersey, Rhode Island","Thu, 01/12/2017 - Thu, 02/23/2017, Thu, 01/12/2017 - Thu, 02/23/2017"
003-2017,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 01/10/2017 - Thu, 06/22/2017, Tue, 01/10/2017 - Thu, 06/22/2017"
002-2017,"Misbranding, Product Contamination","Schreiber Processing Corporation, Schreiber Processing Corporation","New Jersey, New York, Washington, New Jersey, New York, Washington","Mon, 01/09/2017 - Wed, 10/11/2017, Mon, 01/09/2017 - Wed, 10/11/2017"
pha-010717,Product Contamination,NA,NA,"Sat, 01/07/2017 - Current"
pha-010617,Product Contamination,NA,"Colorado, New Mexico, Texas","Fri, 01/06/2017 - Current"
001-2017,Misbranding,4G Meat Processing LLC,Missouri,"Thu, 01/05/2017 - Wed, 10/11/2017"
122-2016,NA,NA,Texas,"Sat, 12/24/2016 - Thu, 07/20/2017"
121-2016,NA,NA,NA,"Fri, 12/23/2016 - Tue, 05/16/2017"
120-2016,NA,NA,"Florida, Georgia, North Carolina, South Carolina, Virginia","Thu, 12/22/2016 - Mon, 05/01/2017"
119-2016,NA,NA,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Maryland, Michigan, North Carolina, Oklahoma, Pennsylvania, Texas, Wisconsin","Wed, 12/21/2016 - Thu, 07/20/2017"
118-2016,NA,NA,"New Jersey, Pennsylvania","Thu, 12/15/2016 - Thu, 02/23/2017"
117-2016,Misbranding,King Meat Service Inc.,California,"Mon, 12/12/2016 - Tue, 02/14/2017"
pha-120916,Product Contamination,"National Steak Processors, LLC.",NA,"Fri, 12/09/2016 - Current"
116-2016,NA,Taylor Farms Northwest LLC,"Oregon, Washington","Thu, 12/08/2016 - Thu, 12/22/2016"
115-2016 EXP,NA,NA,NA,"Sun, 12/04/2016 - Thu, 06/29/2017"
115-2016,NA,NA,NA,"Wed, 11/23/2016 - Thu, 06/29/2017"
114-2016,NA,NA,Maryland,"Wed, 11/23/2016 - Tue, 12/06/2016"
113-2016,NA,"Hearty Acquisitions, LLC","Maryland, Massachusetts, New Jersey, New York, Vermont","Tue, 11/22/2016 - Tue, 01/24/2017"
111-2016,NA,NA,NA,"Tue, 11/22/2016 - Fri, 04/07/2017"
112-2016,NA,"Omni Custom Meats, Inc.","Georgia, Missouri","Tue, 11/22/2016 - Mon, 12/12/2016"
110-2016,NA,NA,"Florida, Iowa, Minnesota, Missouri, North Dakota","Fri, 11/18/2016 - Wed, 01/11/2017"
109-2016,NA,"La Quercia, LLC","California, Colorado, Illinois, Indiana, Iowa, Massachusetts, New York, Oregon, Texas, Virginia","Thu, 11/17/2016 - Thu, 12/22/2016"
108-2016,NA,NA,"North Carolina, South Carolina","Thu, 11/17/2016 - Thu, 12/22/2016"
107-2016,NA,NA,California,"Tue, 11/15/2016 - Thu, 02/23/2017"
106-2016,NA,NA,"Illinois, Indiana, Missouri","Sat, 11/12/2016 - Mon, 11/28/2016"
102-2016 EXP,NA,NA,"Kansas, Missouri","Wed, 11/09/2016 - Tue, 12/13/2016"
105-2016,NA,NA,NA,"Tue, 11/08/2016 - Fri, 02/10/2017"
104-2016,NA,NA,"Iowa, Michigan, Wisconsin","Tue, 11/08/2016 - Fri, 02/10/2017"
103-2016,NA,NA,"Kansas, Kentucky, Minnesota, North Carolina, Ohio, Wisconsin","Sun, 11/06/2016 - Thu, 12/08/2016"
102-2016,NA,NA,Missouri,"Thu, 11/03/2016 - Thu, 12/08/2016"
101-2016,NA,NA,"California, Minnesota, New Jersey, New York, Washington","Wed, 10/26/2016 - Thu, 02/23/2017"
100-2016,NA,NA,NA,"Tue, 10/25/2016 - Thu, 01/12/2017"
099-2016,NA,St. Clair Foods Inc.,"Alabama, Arkansas, Kentucky, Mississippi, Tennessee, Texas","Fri, 10/21/2016 - Tue, 12/13/2016"
098-2016,NA,Brookwood Farms,NA,"Fri, 10/21/2016 - Thu, 12/22/2016"
097-2016,NA,NA,"Florida, Puerto Rico","Sat, 10/15/2016 - Mon, 11/28/2016"
096-2016,NA,NA,"Illinois, Missouri","Sat, 10/15/2016 - Thu, 11/10/2016"
095-2016,NA,NA,Louisiana,"Fri, 10/14/2016 - Thu, 02/23/2017"
094-2016,NA,NA,California,"Wed, 10/12/2016 - Thu, 12/22/2016"
pha-100916,Product Contamination,NA,Washington,"Sun, 10/09/2016 - Current"
093-2016,NA,NA,"California, Utah","Sun, 10/09/2016 - Wed, 03/08/2017"
091-2016 EXP,NA,NA,NA,"Fri, 10/07/2016 - Wed, 01/11/2017"
092-2016,NA,NA,"Idaho, Utah","Mon, 10/03/2016 - Thu, 10/13/2016"
091-2016,NA,"B & M Philly Steaks, Inc.",Virginia,"Fri, 09/30/2016 - Wed, 01/11/2017"
090-2016,NA,NA,Texas,"Tue, 09/27/2016 - Thu, 10/06/2016"
089-2016,NA,NA,Pennsylvania,"Tue, 09/27/2016 - Fri, 11/04/2016"
088-2016,NA,NA,NA,"Sat, 09/24/2016 - Thu, 01/19/2017"
087-2016,NA,Adams Farm Slaughterhouse LLC,"Connecticut, Massachusetts, New York","Sat, 09/24/2016 - Mon, 02/13/2017"
086-2016,NA,NA,"Maryland, New York, Pennsylvania","Thu, 09/22/2016 - Wed, 04/12/2017"
085-2016,NA,NA,"Alaska, Utah, Washington","Wed, 09/21/2016 - Wed, 10/19/2016"
084-2016,NA,Speedy Foods LLC,"Colorado, Oklahoma","Tue, 09/20/2016 - Tue, 11/08/2016"
083-2016,NA,NA,NA,"Sat, 09/17/2016 - Wed, 11/30/2016"
082-2016,NA,NA,Pennsylvania,"Fri, 09/16/2016 - Thu, 11/10/2016"
081-2016,NA,Tucson Tamale Wholesale Company LLC,NA,"Fri, 09/16/2016 - Mon, 10/31/2016"
080-2016,NA,NA,Pennsylvania,"Sat, 09/10/2016 - Thu, 12/15/2016"
079-2016,NA,NA,NA,"Sat, 09/10/2016 - Fri, 08/04/2017"
078-2016,NA,"Montshire Packing, LLC",Massachusetts,"Fri, 09/09/2016 - Thu, 10/13/2016"
077-2016,NA,NA,NA,"Thu, 09/08/2016 - Thu, 06/15/2017"
076-2016,NA,NA,California,"Thu, 09/01/2016 - Fri, 10/14/2016"
075-2016,NA,WFSP Foods LLC,NA,"Fri, 08/26/2016 - Mon, 10/31/2016"
074-2016,NA,NA,"Indiana, Pennsylvania, Texas","Thu, 08/25/2016 - Wed, 02/22/2017"
073-2016,NA,NA,California,"Wed, 08/24/2016 - Mon, 10/31/2016"
072-2016,NA,NA,Florida,"Sun, 08/21/2016 - Wed, 09/14/2016"
071-2016,NA,NA,Texas,"Wed, 08/10/2016 - Thu, 02/16/2017"
070-2016 EXP,NA,NA,"California, Florida, Illinois, New Jersey, New York, Pennsylvania, California, Florida, Illinois, New Jersey, New York, Pennsylvania","Wed, 08/10/2016 - Mon, 11/07/2016"
070-2016,NA,NA,"California, Florida, Illinois, New Jersey, New York, Pennsylvania","Sat, 08/06/2016 - Mon, 11/07/2016"
069-2016,NA,Grossglockner Inc.,"Maryland, New Jersey, Pennsylvania, Virginia","Wed, 08/03/2016 - Thu, 03/02/2017"
059-2016 EXP,NA,NA,NA,"Mon, 08/01/2016 - Mon, 07/31/2017"
068-2016,NA,NA,Arizona,"Fri, 07/29/2016 - Fri, 11/04/2016"
067-2016,NA,NA,NA,"Thu, 07/28/2016 - Tue, 04/11/2017"
066-2016,NA,NA,"Maine, New Jersey, New York, Pennsylvania","Wed, 07/27/2016 - Mon, 04/10/2017"
065-2016,NA,NA,"Maine, Massachusetts, New Hampshire, Vermont","Tue, 07/26/2016 - Mon, 08/29/2016"
064-2016,Product Contamination,"Good Food Concepts, LLC",Colorado,"Tue, 07/26/2016 - Wed, 09/14/2016"
063-2016,NA,"House Of Smoke, Inc.",NA,"Fri, 07/22/2016 - Mon, 11/14/2016"
062-2016,NA,NA,Washington,"Thu, 07/21/2016 - Thu, 11/10/2016"
pha-072016,Product Contamination,NA,NA,"Wed, 07/20/2016 - Current"
061-2016,NA,NA,NA,"Tue, 07/19/2016 - Thu, 09/15/2016"
056-2016 EXP,NA,NA,NA,"Fri, 07/15/2016 - Wed, 09/14/2016"
060-2016,NA,NA,"Arkansas, California, Louisiana, Mississippi, Oklahoma, Texas","Thu, 07/14/2016 - Fri, 09/30/2016"
052-2016 EXP-2,NA,NA,"Puerto Rico, Louisiana, Mississippi, Texas, Connecticut, Georgia, Maryland, Pennsylvania, Tennessee","Thu, 07/14/2016 - Mon, 12/12/2016"
059-2016,NA,NA,NA,"Wed, 07/13/2016 - Mon, 07/31/2017"
058-2016,NA,NA,NA,"Tue, 07/12/2016 - Mon, 07/25/2016"
057-2016,NA,NA,NA,"Fri, 07/08/2016 - Wed, 01/11/2017"
056-2016,NA,NA,"Arkansas, Illinois, Michigan, Minnesota, New York, Vermont, Wisconsin","Wed, 07/06/2016 - Wed, 09/14/2016"
055-2016,NA,"Winter Gardens Quality Foods, Inc.","Maryland, Massachusetts, New Jersey, North Carolina, Pennsylvania, Virginia, Washington","Fri, 07/01/2016 - Mon, 07/25/2016"
054-2016,NA,"GHSE, LLC","Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee, Virginia","Fri, 07/01/2016 - Tue, 08/30/2016"
053-2016,NA,NA,"California, Colorado, Idaho, Louisiana, Nevada, Oklahoma, Oregon, Texas, Utah, Washington","Sun, 06/26/2016 - Mon, 08/22/2016"
052-2016 EXP,NA,NA,"Louisiana, Mississippi, Texas, Connecticut, Georgia, Maryland, Pennsylvania, Tennessee","Sat, 06/25/2016 - Mon, 12/12/2016"
052-2016,NA,NA,"Connecticut, Georgia, Maryland, Pennsylvania, Tennessee","Mon, 06/20/2016 - Mon, 12/12/2016"
051-2016,NA,NA,NA,"Sat, 06/18/2016 - Tue, 12/13/2016"
050-2016,NA,NA,"New Jersey, New York","Fri, 06/17/2016 - Tue, 08/16/2016"
049-2016,NA,NA,"New Jersey, New York","Tue, 06/14/2016 - Tue, 07/05/2016"
048-2016,NA,NA,"New Jersey, New York","Mon, 06/13/2016 - Wed, 07/06/2016"
047-2016,NA,NA,"Illinois, Minnesota","Sat, 06/04/2016 - Wed, 04/12/2017"
046-2016,NA,NA,"Indiana, Ohio","Fri, 06/03/2016 - Wed, 09/14/2016"
045-2016,Mislabeling,NA,Missouri,"Fri, 05/27/2016 - Wed, 06/15/2016"
044-2016,NA,"Taylor Farms Florida, Inc.",Florida,"Thu, 05/26/2016 - Fri, 07/15/2016"
043-2016,NA,NA,"Colorado, Idaho, Minnesota, Montana, Nebraska, New Mexico, South Dakota, Wyoming","Fri, 05/20/2016 - Fri, 10/14/2016"
042-2016,NA,NA,NA,"Thu, 05/19/2016 - Tue, 05/16/2017"
041-2016,Misbranding,NA,"Connecticut, Maryland, New Jersey, New York, Ohio, Pennsylvania","Wed, 05/18/2016 - Tue, 07/26/2016"
027-2016 expansion-3,NA,NA,NA,"Fri, 05/13/2016 - Mon, 07/31/2017"
040-2016,NA,Ajinomoto Windsor Inc.,NA,"Wed, 05/11/2016 - Wed, 01/11/2017"
039-2016,NA,NA,"Colorado, Georgia, Missouri, Utah","Tue, 05/10/2016 - Thu, 07/20/2017"
038-2016,NA,King's Quality Meats LLC,"Idaho, Washington","Sat, 05/07/2016 - Wed, 05/25/2016"
037-2016,NA,La Autentica Foods LLC,"Florida, New Jersey","Sat, 05/07/2016 - Thu, 09/08/2016"
027-2016 expansion,NA,NA,NA,"Fri, 05/06/2016 - Wed, 07/26/2017"
036-2016,NA,NA,"Iowa, Nebraska","Thu, 05/05/2016 - Wed, 05/25/2016"
035-2016,NA,NA,Indiana,"Wed, 05/04/2016 - Wed, 08/31/2016"
034-2016,NA,NA,"Arizona, California, Nevada, Utah","Wed, 05/04/2016 - Fri, 06/24/2016"
033-2016,NA,NA,"Alaska, Arizona, California, Utah, Washington","Fri, 04/29/2016 - Thu, 06/29/2017"
032-2016,NA,NA,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island","Fri, 04/29/2016 - Wed, 05/25/2016"
027-2016 EXP,NA,NA,NA,"Tue, 04/26/2016 - Wed, 07/26/2017"
031-2016,NA,Meating Place Lorigo's Meating Place Inc.,NA,"Thu, 04/21/2016 - Wed, 05/25/2016"
030-2016,NA,NA,"Illinois, Iowa, Kentucky, Ohio","Sat, 04/16/2016 - Fri, 10/14/2016"
029-2016,NA,NA,Texas,"Thu, 04/14/2016 - Thu, 06/22/2017"
028-2016,NA,Mountain Products Inc.,"California, New York","Tue, 04/12/2016 - Wed, 05/25/2016"
027-2016,NA,NA,"Arizona, California, Colorado, Florida, Georgia, Kansas, Kentucky, Nebraska, North Carolina, Oklahoma, Tennessee, Texas, Utah","Thu, 04/07/2016 - Wed, 07/26/2017"
026-2016,NA,NA,"North Carolina, Virginia, West Virginia","Wed, 04/06/2016 - Wed, 05/25/2016"
025-2016,NA,NA,California,"Tue, 03/22/2016 - Wed, 05/25/2016"
024-2016,NA,NA,NA,"Thu, 03/10/2016 - Wed, 06/15/2016"
pha-030716,Product Contamination,NA,NA,"Mon, 03/07/2016 - Current"
023-2016,NA,NA,"Florida, Georgia, Indiana, Massachusetts, New York, Pennsylvania, Texas","Sat, 03/05/2016 - Wed, 05/25/2016"
022-2016,NA,NA,"Arizona, Nevada","Thu, 03/03/2016 - Wed, 05/25/2016"
021-2016,NA,NA,"Maryland, New Jersey, New York, Pennsylvania, Virginia","Thu, 02/25/2016 - Wed, 05/25/2016"
020-2016,Misbranding,Ajinomoto Windsor Inc.,NA,"Tue, 02/23/2016 - Wed, 05/25/2016"
019-2016,Misbranding,NA,"Oklahoma, Texas","Fri, 02/19/2016 - Wed, 05/25/2016"
018-2016,Product Contamination,"Winter Gardens Quality Foods, Inc.",Pennsylvania,"Tue, 02/16/2016 - Wed, 05/25/2016"
017-2016,Produced Without Benefit of Inspection,NA,California,"Sat, 02/13/2016 - Wed, 04/12/2017"
016-2016,Product Contamination,"McCain Foods USA, Inc.","Arkansas, Florida, Illinois, Indiana, Iowa, Kansas, Maine, Ohio, Oklahoma, Tennessee, Texas, Utah","Fri, 02/12/2016 - Mon, 06/20/2016"
015-2016,Product Contamination,NA,"Louisiana, Texas","Tue, 02/09/2016 - Fri, 12/02/2016"
014-2016,Misbranding,"Vosges, LTD","Florida, Georgia, North Carolina, South Carolina","Mon, 02/08/2016 - Wed, 05/25/2016"
013-2016,Produced Without Benefit of Inspection,NA,California,"Fri, 02/05/2016 - Thu, 06/15/2017"
012-2016,Produced Without Benefit of Inspection,NA,California,"Sat, 01/30/2016 - Mon, 06/19/2017"
009-2016 expansion,NA,NA,California,"Wed, 01/27/2016 - Mon, 06/19/2017"
011-2016,Misbranding,"Berks Packing Co., Inc.","Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia, West Virginia","Mon, 01/25/2016 - Wed, 05/25/2016"
010-2016,NA,NA,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island","Mon, 01/25/2016 - Wed, 05/25/2016"
009-2016,NA,NA,California,"Sat, 01/23/2016 - Mon, 06/19/2017"
008-2016,Misbranding,NA,NA,"Fri, 01/22/2016 - Thu, 03/02/2017"
007-2016,NA,Snapps Ferry Packing Company,NA,"Wed, 01/20/2016 - Mon, 12/12/2016"
006-2016,NA,NA,NA,"Sat, 01/16/2016 - Wed, 05/25/2016"
005-2016,NA,NA,NA,"Fri, 01/08/2016 - Wed, 05/25/2016"
004-2016,NA,NA,NA,"Wed, 01/06/2016 - Thu, 06/15/2017"
003-2016,NA,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia","Tue, 01/05/2016 - Wed, 05/25/2016"
002-2016,Product Contamination,NA,Louisiana,"Tue, 01/05/2016 - Wed, 05/25/2016"
001-2016,Product Contamination,Huisken Meat Company,NA,"Mon, 01/04/2016 - Fri, 08/25/2017"
150-2015,NA,NA,Utah,"Thu, 12/31/2015 - Tue, 06/07/2016"
149-2015,NA,"Bellisio Foods, Inc.",NA,"Tue, 12/22/2015 - Mon, 08/22/2016"
148-2015,NA,NA,"Kentucky, New Jersey","Sat, 12/19/2015 - Tue, 06/07/2016"
147-2015,NA,NA,NA,"Fri, 12/18/2015 - Tue, 06/07/2016"
146-2015,NA,Morrilton Packing Co.,Arkansas,"Wed, 12/09/2015 - Tue, 06/07/2016"
145-2015,NA,NA,Pennsylvania,"Thu, 12/03/2015 - Tue, 06/07/2016"
144-2015,NA,NA,NA,"Fri, 11/27/2015 - Tue, 06/07/2016"
143-2015,NA,NA,"Iowa, Kansas, Missouri","Wed, 11/25/2015 - Tue, 06/07/2016"
142-2015,NA,NA,"Indiana, Ohio, Pennsylvania, Tennessee","Thu, 11/19/2015 - Tue, 06/07/2016"
141-2015,NA,NA,NA,"Tue, 11/17/2015 - Tue, 06/07/2016"
140-2015,NA,NA,"Kansas, Missouri, Oklahoma","Sat, 11/07/2015 - Tue, 06/07/2016"
139-2015,NA,NA,NA,"Sat, 11/07/2015 - Tue, 12/13/2016"
138-2015,NA,NA,California,"Fri, 11/06/2015 - Tue, 06/07/2016"
137-2015,NA,"Athens Foods, Inc.",NA,"Fri, 11/06/2015 - Tue, 06/07/2016"
136-2015,NA,NA,California,"Sun, 11/01/2015 - Tue, 06/07/2016"
135-2015,NA,"All American Meats, Inc.",NA,"Sun, 11/01/2015 - Tue, 06/07/2016"
134-2015,NA,NA,New Jersey,"Fri, 10/30/2015 - Tue, 06/07/2016"
